hw(rs1),HW
22,220
20,213
12,170
23,195
19,110
11,157
19,197
1,59
21,181
26,185
9,136
21,200
4,125
19,208
27,210
17,105
16,162
9,171
22,177
0,16
20,209
4,126
24,177
3,94
8,163
26,222
21,222
7,124
22,172
2,55
14,183
15,175
7,127
22,167
22,169
18,165
9,118
8,149
22,208
23,166
3,113
18,213
13,201
13,132
5,160
7,162
23,172
4,144
5,152
22,214
1,51
21,195
15,188
1,26
18,166
24,229
12,181
22,206
25,182
4,113
21,157
20,221
18,194
23,208
24,217
15,179
5,113
16,191
22,161
26,212
0,14
17,112
5,142
2,91
21,171
23,194
11,197
16,164
20,194
1,59
15,150
16,196
3,77
22,169
20,163
13,159
11,173
22,159
11,175
19,209
23,194
1,47
23,208
19,107
23,195
22,208
22,178
22,197
24,220
13,192
10,157
25,203
13,196
21,163
8,95
17,158
9,165
20,220
8,153
13,188
14,105
19,170
1,59
22,190
18,198
2,77
20,184
20,180
24,182
9,162
9,170
17,156
21,214
24,220
2,60
16,111
23,177
22,192
18,204
25,217
1,43
23,187
15,209
24,201
22,163
24,196
24,217
3,98
21,216
16,196
5,148
24,193
23,193
28,242
17,162
25,204
18,204
0,16
9,160
17,99
19,183
25,183
20,194
23,197
14,202
3,94
24,237
20,194
14,167
3,101
22,123
24,227
15,182
20,170
4,58
14,213
3,112
2,77
25,220
5,103
25,122
1,37
3,78
24,208
24,212
5,97
24,194
24,196
20,156
18,115
8,150
23,183
7,141
26,208
26,237
0,20
14,158
16,196
3,76
2,38
23,189
0,18
0,16
28,246
1,59
25,217
8,132
10,166
24,238
2,77
4,107
14,222
1,59
11,104
26,236
15,201
18,173
22,148
26,218
1,59
14,185
23,199
21,204
5,130
18,169
9,184
2,70
4,117
18,112
8,129
24,162
0,18
18,110
8,151
8,132
20,166
24,184
12,158
1,43
6,127
22,149
10,169
21,199
22,152
24,196
23,212
8,152
6,105
18,185
0,16
18,207
19,182
17,199
22,163
22,208
20,162
25,227
6,155
